parameter,value,CV
V_pop,179.949566426059,
beta_V_baseline,-0.0148144069156895,
k_pop,0.018108646574667,
Cc_baseline_pop,0.0370178732284385,
omega_V,0.651522263664313,72.7184409740752
omega_k,0.35094887208977,36.2037508579538
omega_Cc_baseline,1.78158591388128,478.581875800922
a,38.9762292316348,
b,0.580989717075188,
