parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin
V_pop,83.3306656579332,,35.4271555426173,42.5139476120872,39.4834,175.871
k_pop,0.0202009547121992,,0.00788156777905778,39.0158182687187,0.0100763,0.0404989
Cc_baseline_pop,0.000440665742322045,,1.24181158519923e+15,2.81803522700817e+20,1.24765e-09,155.642
omega_V,0.921384883897835,115.637007732048,0.319963953607378,34.7264166364223,0.490834,1.72961
omega_k,0.868507349666398,106.119431867736,0.298312148429083,34.3476826700048,0.465429,1.62067
omega_Cc_baseline,6.48406183008147,134751623398.587,4.63227684244183,71.4409727086705,2.15353,19.5229
a,31.0280127049005,,4.22858132946429,13.6282699432969,23.8404,40.3827
b,0.502149801823933,,0.140537428991232,27.9871521368254,0.298464,0.844841
