parameter,value,CV
Cc_baseline_SEX_Female,43.5491759743035,
Cc_baseline_SEX_Male,28.8291778295948,
omega_V,1.04801517346056,141.392031602267
omega_k,1.11754548095933,157.687451676185
omega_k12,2.44795418698461,1998.5151186931
omega_k21,2.45320278101861,2024.45058383492
omega_Cc_baseline,0.0234431334381479,2.3446354779247
corr_k_V,-0.940227244449674,
b,0.53805909694396,
