parameter,value,CV
V_pop,0.275002473485975,
k_pop,2.94365288070755,
k12_pop,14.7234302656812,
k21_pop,0.29172240539752,
Cc_baseline_pop,17.1923731996371,
beta_Cc_baseline_SEX_Male,-0.495887905305413,
beta_Cc_baseline_baseline,0.017678356421796,
omega_V,0.310539605501009,31.8178926707546
omega_k,0.265482662113125,27.022995552815
omega_k12,0.723178645439488,82.8890809054756
omega_k21,1.59655206468308,343.424343122152
omega_Cc_baseline,0.048884455154864,4.89136743725528
b,0.520427817427464,
